"SADER-JARVIS METHOD"
""
"============================"
"amplitude = ",1.e-10,"(m)"
"k = ",2000,"(N/m)"
"f0 = ",20000,"(Hz)"
"Is force curve valid? ","YES"
"============================"
""
"Distance (m)","Force (N)"
5.0000000000000005e-12,-3.820124609384682e-11
1.0000000000000001e-11,-3.893399509461246e-11
1.5000000000000003e-11,-3.974776252990268e-11
2.0000000000000002e-11,-4.02104087442193e-11
2.5e-11,-4.109118658195829e-11
3.0000000000000006e-11,-4.235802189599106e-11
3.5e-11,-4.3513929096561737e-11
4.0000000000000004e-11,-4.496520626983948e-11
4.5e-11,-4.660269086414257e-11
5.e-11,-4.856050717194954e-11
5.5000000000000004e-11,-5.043183431026974e-11
6.000000000000001e-11,-5.217858555880803e-11
6.500000000000001e-11,-5.432947730967806e-11
7.e-11,-5.5589732121950875e-11
7.5e-11,-5.574455872845863e-11
8.000000000000001e-11,-5.577435195608034e-11
8.500000000000002e-11,-5.50398854025557e-11
9.e-11,-5.289742934173996e-11
9.500000000000001e-11,-5.049715053182648e-11
1.e-10,-4.7261964308165526e-11
1.0500000000000001e-10,-4.329215854576515e-11
1.1000000000000001e-10,-3.9418028491745604e-11
1.1500000000000002e-10,-3.5793678800102865e-11
1.2000000000000003e-10,-3.1673861019497337e-11
1.25e-10,-2.7854318866841216e-11
1.3000000000000002e-10,-2.4565193477740644e-11
1.3500000000000002e-10,-2.125590588712315e-11
1.4e-10,-1.9269028451233793e-11
1.4500000000000002e-10,-1.674610365368594e-11
1.5e-10,-1.4365541543263626e-11
1.55e-10,-1.2970095394422171e-11
1.6000000000000002e-10,-1.1007990383927979e-11
1.6500000000000002e-10,-9.99574562963821e-12
1.7000000000000003e-10,-8.980218984506013e-12
1.7500000000000002e-10,-7.277578689197969e-12
1.8e-10,-6.7833622455619236e-12
1.85e-10,-5.8988967254498255e-12
1.9000000000000002e-10,-5.250767029591566e-12
1.9500000000000002e-10,-5.104761641993436e-12
2.e-10,-3.721630560789552e-12
2.0500000000000004e-10,-3.54607385500008e-12
2.1000000000000002e-10,-3.6243144971364955e-12
2.15e-10,-2.870098317336151e-12
2.2000000000000002e-10,-2.783735652220537e-12
2.25e-10,-2.424608722944026e-12
2.3000000000000003e-10,-2.47280232579544e-12
2.35e-10,-1.9665397677318864e-12
2.4000000000000005e-10,-1.5769148554833962e-12
2.4500000000000003e-10,-1.6093002024576287e-12
2.5e-10,-1.3919538428352616e-12
2.5500000000000005e-10,-1.3459283541255417e-12
2.6000000000000003e-10,-1.3396364440738522e-12
2.6500000000000007e-10,-1.4222562534423395e-12
2.7000000000000005e-10,-8.726928996984948e-13
2.7500000000000003e-10,-5.396048614560057e-13
2.8e-10,-5.9941049401498e-13
2.85e-10,-5.431630899072898e-13
2.9000000000000003e-10,-5.586510703897598e-13
2.95e-10,-8.578086668531594e-13
3.e-10,-9.162337779789042e-13
3.0500000000000003e-10,-8.195623205582427e-13
3.1e-10,-1.3221198800587339e-13
3.1500000000000005e-10,-8.558187864869152e-14
3.2000000000000003e-10,-6.917080790836442e-13
3.25e-10,-3.544805361460976e-13
3.3000000000000005e-10,-3.0161027871783376e-13
3.3500000000000003e-10,-1.6442380898757998e-13
3.4000000000000007e-10,-1.410052929019238e-13
3.4500000000000005e-10,-4.587808909568202e-13
3.5000000000000003e-10,-4.946938825450901e-13
3.55e-10,-4.8464174872964e-13
3.6e-10,2.856567083999405e-14
3.6500000000000003e-10,-1.7338372765111482e-13
3.7e-10,5.3841164335222106e-14
3.75e-10,1.2299267398810266e-13
3.8000000000000003e-10,-3.8054998410654583e-13
3.85e-10,2.684433491191965e-13
3.9000000000000005e-10,6.670049781858204e-14
3.9500000000000003e-10,-2.2694498200448254e-13
4.e-10,-1.3476448771721634e-13
4.05e-10,-1.7021321380484725e-13
4.100000000000001e-10,-2.1775332341789198e-13
4.1500000000000007e-10,-5.196713475989271e-13
4.2000000000000005e-10,-1.1172506502330519e-13
4.2500000000000003e-10,3.4698844992211384e-13
4.3e-10,-2.4399807439552778e-14
4.3500000000000005e-10,-4.0431929629830874e-13
4.4000000000000003e-10,-3.485269393944079e-13
4.45e-10,1.621512821472822e-14
4.5e-10,1.7506323663592139e-13
4.55e-10,4.5263019114623724e-14
4.6000000000000007e-10,-1.0943867037388868e-13
4.6500000000000005e-10,3.653935298135776e-14
4.7e-10,-8.225351993006464e-14
4.75e-10,-1.7718664691804367e-13
4.800000000000001e-10,3.0033206801072144e-13
4.850000000000001e-10,3.298183829390321e-14
4.900000000000001e-10,-3.19422413888468e-13
