"SADER-JARVIS METHOD"
""
"============================"
"amplitude = ",1.e-10,"(m)"
"k = ",2000,"(N/m)"
"f0 = ",20000,"(Hz)"
"Is force curve valid? ","YES"
"============================"
""
"Distance (m)","Force (N)"
2.5000002e-12,-1.5642340479871352e-10
5.0000004e-12,-1.6635926558555582e-10
7.5000006e-12,-1.6565287743871986e-10
1.0000001e-11,-1.4953281138717326e-10
1.2500001e-11,-1.6156542063205577e-10
1.5000001e-11,-1.606420457552093e-10
1.7500001e-11,-1.462795858856602e-10
2.0000002e-11,-1.67051791195754e-10
2.2500002e-11,-1.5878598152711123e-10
2.5000002e-11,-1.4519743125791383e-10
2.7500002e-11,-1.5808262363633046e-10
3.0000002e-11,-1.5337920922170973e-10
3.2500003e-11,-1.5370621805926318e-10
3.5000003e-11,-1.514445500926773e-10
3.7500003e-11,-1.4862023984380877e-10
4.0000003e-11,-1.5207785918282883e-10
4.2500004e-11,-1.6019275210007785e-10
4.5000004e-11,-1.5149334673708197e-10
4.7500004e-11,-1.42394372084671e-10
5.0000004e-11,-1.5138559314432421e-10
5.2500004e-11,-1.4658398655621016e-10
5.5000005e-11,-1.5247341029221234e-10
5.7500005e-11,-1.4796336897584751e-10
6.0000005e-11,-1.3802841226141808e-10
6.2500005e-11,-1.4866677761700295e-10
6.5000005e-11,-1.4065740956017375e-10
6.7500006e-11,-1.35081324623021e-10
6.999995e-11,-1.5213808981464175e-10
7.249995e-11,-1.4277916265017587e-10
7.4999951e-11,-1.3743808648238383e-10
7.7499951e-11,-1.4445109040568773e-10
7.9999951e-11,-1.4470909456377065e-10
8.2499951e-11,-1.3802661949364004e-10
8.4999952e-11,-1.3095800574561405e-10
8.7499952e-11,-1.378594485887153e-10
8.9999952e-11,-1.3600800590865737e-10
9.2499952e-11,-1.4083101960881278e-10
9.4999952e-11,-1.424971041204562e-10
9.7499953e-11,-1.262451613588883e-10
9.9999953e-11,-1.282510368913592e-10
1.0249995e-10,-1.4314616028220347e-10
1.0499995e-10,-1.3607287383752776e-10
1.0749995e-10,-1.311108876330827e-10
1.0999995e-10,-1.4087644708682652e-10
1.1249995e-10,-1.3095840065622013e-10
1.1499995e-10,-1.2623656688072137e-10
1.1749995e-10,-1.3081258732072784e-10
1.1999995e-10,-1.237425334039908e-10
1.2249995e-10,-1.3153821432759016e-10
1.2499995e-10,-1.3813007594765406e-10
1.2749996e-10,-1.3328021373783618e-10
1.2999996e-10,-1.270659908648876e-10
1.3249996e-10,-1.2765686073191412e-10
1.3499996e-10,-1.3024456008325995e-10
1.3749996e-10,-1.2981901940231307e-10
1.3999996e-10,-1.303108448119574e-10
1.4249996e-10,-1.2188511714949508e-10
1.4499996e-10,-1.2887442522155064e-10
1.4749996e-10,-1.3364244985168956e-10
1.4999996e-10,-1.251150152091281e-10
1.5249996e-10,-1.1862274256215357e-10
1.5499996e-10,-1.1784507897585015e-10
1.5749996e-10,-1.208198053898715e-10
1.5999996e-10,-1.2339317302392293e-10
1.6249996e-10,-1.2357629743944847e-10
1.6499996e-10,-1.2142839388085425e-10
1.6749996e-10,-1.2509890126407598e-10
1.6999996e-10,-1.1682630811154648e-10
