Experiment	Z spectroscopy	
Saved Date	29.08.2024 16:24:32	
User		
Date		
X (m)	379.778E-9	
Y (m)	-209.886E-9	
Z (m)	-78.8045E-9	
Z offset (m)	1E-9	
Z sweep distance (m)	1E-9	
Settling time (s)	50E-3	
Integration time (s)	400E-3	
Final Z (m)	N/A	
Start time	29.08.2024 16:21:30	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Current (A)	Bias (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	LI Demod 1 X (A)	LI Demod 1 Y (A)
999.99997E-12	1.7565243E-12	500.00000E-3	411.95226E-3	80.074843E-12	-96.191764E-3	357.74903E-6	-2.3733186E-12	25.548413E-15
997.49997E-12	1.7303729E-12	500.00000E-3	222.97658E-3	79.888256E-12	-76.513782E-3	377.24461E-6	-2.3726234E-12	2.7207880E-15
994.99997E-12	1.7126178E-12	500.00000E-3	31.811409E-3	80.163737E-12	-92.311598E-3	319.24108E-6	-2.3875422E-12	-22.635710E-15
992.49997E-12	1.6853415E-12	500.00000E-3	-244.00426E-3	80.027852E-12	-95.401861E-3	336.65876E-6	-2.3833175E-12	13.181845E-15
989.99997E-12	1.6675680E-12	500.00000E-3	-404.57842E-3	79.838039E-12	-145.83907E-3	360.10248E-6	-2.3319625E-12	21.470417E-15
987.49997E-12	1.6498115E-12	500.00000E-3	255.15246E-3	80.044922E-12	-97.127490E-3	345.23036E-6	-2.3888079E-12	26.336928E-15
984.99997E-12	1.6369223E-12	500.00000E-3	-66.942826E-3	80.080761E-12	-122.57181E-3	339.44249E-6	-2.3978777E-12	-1.5589243E-15
982.49997E-12	1.6149140E-12	500.00000E-3	273.93031E-3	79.938681E-12	-110.12369E-3	362.68454E-6	-2.3910704E-12	24.881733E-15
979.99997E-12	1.6041145E-12	500.00000E-3	-396.11349E-3	80.022780E-12	-176.54049E-3	355.72259E-6	-2.3749236E-12	5.5013270E-15
977.49997E-12	1.5896269E-12	500.00000E-3	157.92945E-3	79.846491E-12	-102.21655E-3	389.40742E-6	-2.3774674E-12	29.195210E-15
974.99997E-12	1.5792586E-12	500.00000E-3	483.84382E-6	80.077951E-12	-106.13375E-3	368.85749E-6	-2.3933711E-12	20.628715E-15
972.49997E-12	1.5705756E-12	500.00000E-3	-225.00592E-3	80.119619E-12	-155.72989E-3	346.19457E-6	-2.4036040E-12	7.4692966E-15
969.99997E-12	1.5570811E-12	500.00000E-3	287.11128E-3	79.810859E-12	-82.634516E-3	336.92355E-6	-2.3789252E-12	7.3628805E-15
967.49997E-12	1.5486404E-12	500.00000E-3	175.45934E-3	79.913652E-12	-77.443771E-3	383.34422E-6	-2.3930228E-12	10.732959E-15
964.99997E-12	1.5417139E-12	500.00000E-3	-131.41173E-3	79.990375E-12	-117.31167E-3	336.07573E-6	-2.4021939E-12	11.167143E-15
962.49997E-12	1.5259452E-12	500.00000E-3	183.53407E-3	80.076980E-12	-82.426123E-3	338.52551E-6	-2.3921809E-12	11.633681E-15
959.99997E-12	1.5228364E-12	500.00000E-3	-234.16311E-3	79.900662E-12	-125.54108E-3	360.93788E-6	-2.3694189E-12	34.529589E-15
957.49997E-12	1.5140826E-12	500.00000E-3	81.248164E-3	79.976248E-12	-112.52420E-3	361.12641E-6	-2.3886327E-12	42.436266E-15
954.99997E-12	1.5012423E-12	500.00000E-3	210.97335E-3	80.181861E-12	-79.328239E-3	336.33644E-6	-2.3758892E-12	18.374179E-15
952.49997E-12	1.4921107E-12	500.00000E-3	-256.38849E-3	79.813677E-12	-96.918151E-3	374.30489E-6	-2.3799723E-12	25.684209E-15
949.99997E-12	1.4914247E-12	500.00000E-3	21.174403E-3	79.920369E-12	-125.64491E-3	351.00803E-6	-2.3862694E-12	47.447987E-15
947.49997E-12	1.4737081E-12	500.00000E-3	1.5936983E-3	79.918537E-12	-110.16893E-3	360.94716E-6	-2.3701119E-12	26.006492E-15
944.99997E-12	1.4664597E-12	500.00000E-3	-138.94638E-3	80.028831E-12	-140.22073E-3	359.42008E-6	-2.3961978E-12	13.949327E-15
942.49997E-12	1.4605972E-12	500.00000E-3	178.80139E-3	79.942115E-12	-98.364621E-3	351.15582E-6	-2.3773691E-12	27.326377E-15
939.99997E-12	1.4588036E-12	500.00000E-3	-233.49097E-3	79.943115E-12	-149.18499E-3	360.55472E-6	-2.4302962E-12	33.468931E-15
937.49997E-12	1.4517970E-12	500.00000E-3	-164.74088E-3	80.137084E-12	-160.00256E-3	330.21369E-6	-2.3908319E-12	23.479228E-15
934.99997E-12	1.4403756E-12	500.00000E-3	121.89429E-3	79.878958E-12	-134.85765E-3	391.93750E-6	-2.3782814E-12	16.679954E-15
932.49997E-12	1.4403100E-12	500.00000E-3	-223.71063E-3	79.976921E-12	-154.22644E-3	378.76095E-6	-2.3789295E-12	8.7337610E-15
929.99997E-12	1.4340172E-12	500.00000E-3	276.29462E-3	79.977518E-12	-108.46074E-3	376.36425E-6	-2.3682057E-12	29.992413E-15
927.49997E-12	1.4246591E-12	500.00000E-3	-111.35868E-3	80.000180E-12	-136.83708E-3	355.90556E-6	-2.3778726E-12	28.556313E-15
924.99997E-12	1.4188141E-12	500.00000E-3	124.98368E-3	79.991062E-12	-67.820422E-3	362.09277E-6	-2.3751836E-12	33.855849E-15
922.49997E-12	1.4109119E-12	500.00000E-3	-201.72653E-3	79.972542E-12	-143.58965E-3	353.03456E-6	-2.4225357E-12	13.786235E-15
919.99997E-12	1.4051377E-12	500.00000E-3	125.51492E-3	79.947576E-12	-103.30481E-3	363.29508E-6	-2.3637299E-12	24.186526E-15
917.49996E-12	1.4047845E-12	500.00000E-3	-236.06043E-3	79.844471E-12	-162.91641E-3	393.59118E-6	-2.3662610E-12	42.354036E-15
914.99996E-12	1.3959054E-12	500.00000E-3	167.65499E-3	80.093793E-12	-124.91118E-3	361.47636E-6	-2.3447266E-12	19.740784E-15
912.49996E-12	1.3880355E-12	500.00000E-3	-131.32721E-3	79.981397E-12	-144.37220E-3	354.60771E-6	-2.3807267E-12	17.412729E-15
909.99996E-12	1.3866662E-12	500.00000E-3	222.57371E-3	79.903889E-12	-102.94859E-3	362.30325E-6	-2.3547000E-12	7.9289856E-15
907.49996E-12	1.3801515E-12	500.00000E-3	4.3865526E-3	79.980036E-12	-137.76590E-3	367.52949E-6	-2.3915943E-12	15.336641E-15
904.99996E-12	1.3743576E-12	500.00000E-3	2.1827042E-3	79.960032E-12	-121.65878E-3	353.63829E-6	-2.3875478E-12	23.057724E-15
902.49996E-12	1.3650782E-12	500.00000E-3	16.812619E-3	79.962849E-12	-144.81297E-3	363.84453E-6	-2.3907055E-12	22.501762E-15
899.99996E-12	1.3626230E-12	500.00000E-3	167.82713E-3	80.023731E-12	-92.010833E-3	353.99513E-6	-2.3974186E-12	24.333979E-15
897.49996E-12	1.3586366E-12	500.00000E-3	-51.939826E-3	79.986059E-12	-122.56687E-3	370.93338E-6	-2.3688395E-12	4.3004663E-15
894.99996E-12	1.3524537E-12	500.00000E-3	-116.22004E-3	79.889040E-12	-152.99186E-3	392.87569E-6	-2.4057143E-12	37.655436E-15
892.49996E-12	1.3455281E-12	500.00000E-3	-65.960929E-3	80.360767E-12	-149.38809E-3	300.90465E-6	-2.3684418E-12	40.627959E-15
889.99996E-12	1.3379380E-12	500.00000E-3	-71.780875E-3	79.936904E-12	-153.87894E-3	322.47673E-6	-2.3673838E-12	19.329790E-15
887.49996E-12	1.3292127E-12	500.00000E-3	45.717634E-3	79.805690E-12	-130.11852E-3	383.50202E-6	-2.3786945E-12	37.029970E-15
884.99996E-12	1.3339137E-12	500.00000E-3	-100.18250E-3	79.999597E-12	-159.51632E-3	371.84465E-6	-2.3733153E-12	15.359008E-15
882.49996E-12	1.3255458E-12	500.00000E-3	191.81904E-3	79.969732E-12	-133.67239E-3	362.49062E-6	-2.3876975E-12	53.632029E-15
879.99996E-12	1.3221733E-12	500.00000E-3	-54.831054E-3	80.065725E-12	-168.19637E-3	335.20279E-6	-2.4087091E-12	35.819204E-15
877.49996E-12	1.3169717E-12	500.00000E-3	198.07902E-3	79.881469E-12	-146.35928E-3	386.35943E-6	-2.3482210E-12	11.020664E-15
874.99996E-12	1.3140872E-12	500.00000E-3	-89.490488E-3	80.071075E-12	-194.39788E-3	356.08109E-6	-2.3790011E-12	8.1478090E-15
872.49996E-12	1.3117956E-12	500.00000E-3	38.795445E-3	79.919342E-12	-152.03109E-3	362.79726E-6	-2.3969726E-12	12.354378E-15
869.99996E-12	1.3104908E-12	500.00000E-3	-2.2025816E-3	79.930507E-12	-132.75640E-3	371.11150E-6	-2.3686448E-12	20.840907E-15
867.49996E-12	1.3012217E-12	500.00000E-3	115.63474E-3	80.119238E-12	-148.65072E-3	356.14456E-6	-2.3813870E-12	32.533279E-15
864.99996E-12	1.3030921E-12	500.00000E-3	-784.00498E-6	79.984665E-12	-126.61955E-3	361.10028E-6	-2.3717996E-12	19.800327E-15
862.49996E-12	1.2922029E-12	500.00000E-3	-125.53208E-3	79.879194E-12	-143.97892E-3	388.45584E-6	-2.3674751E-12	6.0077997E-15
859.99996E-12	1.2926956E-12	500.00000E-3	-59.264749E-3	80.189716E-12	-169.04032E-3	352.91884E-6	-2.3676074E-12	25.098430E-15
857.49996E-12	1.2881171E-12	500.00000E-3	13.937810E-3	79.957159E-12	-138.92846E-3	337.40781E-6	-2.3673975E-12	-4.5700134E-15
854.99996E-12	1.2821690E-12	500.00000E-3	-162.79596E-3	79.805884E-12	-139.71120E-3	379.63159E-6	-2.3773572E-12	5.4665990E-15
852.49996E-12	1.2818484E-12	500.00000E-3	64.435117E-3	80.176359E-12	-141.66695E-3	357.26625E-6	-2.3932232E-12	883.16589E-18
849.99996E-12	1.2781913E-12	500.00000E-3	225.97232E-3	79.918176E-12	-85.743278E-3	377.61463E-6	-2.3661335E-12	9.2277243E-15
847.49996E-12	1.2808866E-12	500.00000E-3	-42.951360E-3	80.003469E-12	-104.94591E-3	369.60791E-6	-2.3865983E-12	25.608547E-15
844.99996E-12	1.2736019E-12	500.00000E-3	-16.476806E-3	79.868737E-12	-132.80270E-3	391.12027E-6	-2.3621250E-12	26.461401E-15
842.49996E-12	1.2789488E-12	500.00000E-3	-202.02193E-3	79.956770E-12	-168.26591E-3	383.97603E-6	-2.3647033E-12	25.854541E-15
839.99996E-12	1.2647109E-12	500.00000E-3	279.48791E-3	80.229101E-12	-97.329445E-3	319.00970E-6	-2.3710831E-12	5.1619035E-15
837.49996E-12	1.2670483E-12	500.00000E-3	-113.33796E-3	80.051167E-12	-133.65081E-3	363.68967E-6	-2.3684299E-12	25.249292E-15
834.99996E-12	1.2608697E-12	500.00000E-3	-77.091612E-3	79.952073E-12	-136.56871E-3	357.16427E-6	-2.3964958E-12	46.003677E-15
832.49996E-12	1.2623484E-12	500.00000E-3	41.844908E-3	80.168899E-12	-141.77622E-3	336.79837E-6	-2.4058245E-12	-3.0475644E-15
829.99996E-12	1.2532948E-12	500.00000E-3	37.773773E-3	80.003504E-12	-128.05165E-3	345.71372E-6	-2.3667463E-12	4.5735497E-15
827.49996E-12	1.2495643E-12	500.00000E-3	-261.58628E-3	79.875696E-12	-187.29398E-3	366.41918E-6	-2.3987381E-12	13.341981E-15
824.99996E-12	1.2476086E-12	500.00000E-3	23.303265E-3	79.877431E-12	-153.59722E-3	382.21473E-6	-2.3841098E-12	36.052517E-15
822.49996E-12	1.2448164E-12	500.00000E-3	139.96445E-3	80.158415E-12	-124.33272E-3	318.15431E-6	-2.3949597E-12	18.004177E-15
819.99996E-12	1.2348762E-12	500.00000E-3	65.311372E-3	79.992526E-12	-146.03986E-3	349.22492E-6	-2.3910565E-12	839.01747E-18
817.49996E-12	1.2296008E-12	500.00000E-3	267.63692E-3	80.041133E-12	-104.62111E-3	356.23804E-6	-2.4028490E-12	16.090917E-15
814.99996E-12	1.2353649E-12	500.00000E-3	-29.842474E-3	79.974131E-12	-113.06525E-3	359.16944E-6	-2.3785039E-12	26.425451E-15
812.49996E-12	1.2338556E-12	500.00000E-3	-41.377079E-3	79.901752E-12	-125.43298E-3	380.51530E-6	-2.3766156E-12	33.272755E-15
809.99996E-12	1.2230267E-12	500.00000E-3	-146.00660E-3	80.308579E-12	-160.07733E-3	284.17850E-6	-2.3818775E-12	27.332810E-15
807.49996E-12	1.2313546E-12	500.00000E-3	-97.593032E-3	79.874725E-12	-167.76611E-3	358.80844E-6	-2.3894647E-12	12.542420E-15
804.99996E-12	1.2221101E-12	500.00000E-3	-117.70760E-3	79.954814E-12	-167.89709E-3	363.76170E-6	-2.3743156E-12	-10.870288E-15
802.49996E-12	1.2193320E-12	500.00000E-3	119.39420E-3	79.929181E-12	-149.64062E-3	365.82764E-6	-2.3647096E-12	-450.15656E-18
799.99996E-12	1.2151704E-12	500.00000E-3	-15.171565E-3	80.051743E-12	-157.83641E-3	384.97508E-6	-2.3719566E-12	30.389225E-15
797.49995E-12	1.2158688E-12	500.00000E-3	-7.8771682E-3	79.995788E-12	-156.35142E-3	370.30398E-6	-2.3769834E-12	25.829460E-15
794.99995E-12	1.2071531E-12	500.00000E-3	-96.742801E-3	80.113589E-12	-180.11440E-3	360.15423E-6	-2.3606035E-12	10.030074E-15
792.49995E-12	1.2107973E-12	500.00000E-3	-27.403211E-3	79.980814E-12	-175.30428E-3	344.54445E-6	-2.3703242E-12	15.102096E-15
789.99995E-12	1.1990956E-12	500.00000E-3	60.755804E-3	79.855615E-12	-154.93536E-3	351.51449E-6	-2.3865692E-12	29.872839E-15
787.49995E-12	1.2054548E-12	500.00000E-3	53.978935E-3	79.842979E-12	-118.54823E-3	396.25805E-6	-2.3997854E-12	5.6101271E-15
784.99995E-12	1.1994639E-12	500.00000E-3	98.433420E-3	80.190979E-12	-121.44816E-3	334.25356E-6	-2.3729575E-12	15.376665E-15
782.49995E-12	1.1981478E-12	500.00000E-3	-110.35600E-3	79.960059E-12	-117.82889E-3	355.26365E-6	-2.3765094E-12	22.449043E-15
779.99995E-12	1.1917170E-12	500.00000E-3	-145.33553E-3	80.019172E-12	-160.66693E-3	347.36053E-6	-2.3906619E-12	15.398488E-15
777.49995E-12	1.1888960E-12	500.00000E-3	-46.748016E-3	79.846796E-12	-182.42440E-3	346.75718E-6	-2.3520194E-12	20.327081E-15
774.99995E-12	1.1901019E-12	500.00000E-3	-83.014823E-3	80.018124E-12	-186.97588E-3	370.21059E-6	-2.3800779E-12	31.796455E-15
772.49995E-12	1.1872127E-12	500.00000E-3	-16.376670E-3	80.040835E-12	-172.67016E-3	370.92142E-6	-2.3766540E-12	10.917735E-15
769.99995E-12	1.1750413E-12	500.00000E-3	182.43749E-3	79.945529E-12	-159.56429E-3	384.32583E-6	-2.3702518E-12	-15.272321E-15
767.49995E-12	1.1770512E-12	500.00000E-3	88.282056E-3	80.043278E-12	-145.46907E-3	352.54343E-6	-2.4066972E-12	35.134219E-15
764.99995E-12	1.1736658E-12	500.00000E-3	-155.74476E-3	79.958394E-12	-179.81048E-3	395.84827E-6	-2.3880912E-12	20.542577E-15
762.49995E-12	1.1773481E-12	500.00000E-3	-180.60640E-3	79.991139E-12	-176.39090E-3	383.08132E-6	-2.3887190E-12	-3.1402578E-15
759.99995E-12	1.1719378E-12	500.00000E-3	123.07040E-3	79.967595E-12	-150.63664E-3	344.52855E-6	-2.3862847E-12	23.870422E-15
757.49995E-12	1.1666673E-12	500.00000E-3	85.310504E-3	80.130340E-12	-155.44951E-3	332.04787E-6	-2.3942196E-12	1.8954658E-15
754.99995E-12	1.1697946E-12	500.00000E-3	-50.250582E-3	79.826153E-12	-138.46195E-3	397.47427E-6	-2.3684707E-12	12.826763E-15
752.49995E-12	1.1609588E-12	500.00000E-3	160.12956E-3	80.003108E-12	-132.94543E-3	378.80187E-6	-2.3697331E-12	30.413961E-15
749.99995E-12	1.1616304E-12	500.00000E-3	-96.190982E-3	79.989113E-12	-116.46681E-3	390.79279E-6	-2.4086304E-12	-1.5222354E-15
747.49995E-12	1.1571146E-12	500.00000E-3	62.391210E-3	80.023314E-12	-163.78780E-3	362.50451E-6	-2.3772551E-12	20.698416E-15
744.99995E-12	1.1609411E-12	500.00000E-3	43.620043E-3	80.147319E-12	-165.34208E-3	346.18835E-6	-2.3438434E-12	22.371721E-15
742.49995E-12	1.1555559E-12	500.00000E-3	-172.09065E-3	79.885487E-12	-207.87250E-3	366.37098E-6	-2.3795633E-12	21.604053E-15
739.99995E-12	1.1550445E-12	500.00000E-3	-112.68909E-3	80.168074E-12	-204.69600E-3	301.74988E-6	-2.3812530E-12	5.4789826E-15
737.49995E-12	1.1503322E-12	500.00000E-3	123.78429E-3	79.720341E-12	-178.88659E-3	409.48618E-6	-2.3559223E-12	-5.3527383E-15
734.99995E-12	1.1459711E-12	500.00000E-3	254.91884E-3	80.166734E-12	-146.33770E-3	356.77827E-6	-2.3891258E-12	19.376134E-15
732.49995E-12	1.1526797E-12	500.00000E-3	-110.17832E-3	80.016493E-12	-163.42174E-3	360.59623E-6	-2.3775224E-12	2.1414431E-15
729.99995E-12	1.1436432E-12	500.00000E-3	239.65001E-3	80.014766E-12	-156.18184E-3	351.53606E-6	-2.4028323E-12	17.708139E-15
727.49995E-12	1.1425971E-12	500.00000E-3	15.366226E-3	79.985761E-12	-183.47089E-3	366.67011E-6	-2.3977328E-12	7.8451582E-15
724.99995E-12	1.1389172E-12	500.00000E-3	-62.048990E-3	79.883378E-12	-200.17743E-3	378.39412E-6	-2.3819844E-12	35.106172E-15
722.49995E-12	1.1369654E-12	500.00000E-3	-11.547604E-3	79.836623E-12	-184.70693E-3	408.29985E-6	-2.3911784E-12	-4.8899098E-15
719.99995E-12	1.1383186E-12	500.00000E-3	-262.71424E-3	80.078458E-12	-183.31784E-3	361.24268E-6	-2.3754375E-12	20.343873E-15
717.49995E-12	1.1354723E-12	500.00000E-3	30.441856E-3	80.301751E-12	-171.79708E-3	287.27177E-6	-2.3703246E-12	27.277405E-15
714.99995E-12	1.1309676E-12	500.00000E-3	160.46637E-3	79.866891E-12	-154.29580E-3	377.29731E-6	-2.3987086E-12	20.176037E-15
712.49995E-12	1.1275849E-12	500.00000E-3	-417.68751E-3	80.051660E-12	-240.24154E-3	349.92170E-6	-2.3692261E-12	-9.9684555E-15
709.99995E-12	1.1342042E-12	500.00000E-3	254.78619E-3	80.064212E-12	-154.61707E-3	348.11717E-6	-2.3765395E-12	20.666772E-15
707.49995E-12	1.1210349E-12	500.00000E-3	74.066743E-3	79.930507E-12	-156.41661E-3	350.04571E-6	-2.3867852E-12	10.633486E-15
704.99995E-12	1.1214880E-12	500.00000E-3	-159.61806E-3	79.947847E-12	-186.09218E-3	344.05850E-6	-2.3987975E-12	5.0576151E-15
702.49995E-12	1.1237372E-12	500.00000E-3	-242.19346E-3	79.926829E-12	-204.41353E-3	385.94697E-6	-2.3902759E-12	21.033021E-15
